밥,국,메인메뉴
쌀밥/잡곡밥,오징어찌개,쇠불고기
쌀밥/잡곡밥,김치찌개,가자미튀김
카레덮밥,팽이장국,치킨핑거
쌀밥/잡곡밥,쇠고기무국,주꾸미볶음
쌀밥/잡곡밥,떡국,돈육씨앗강정
쌀밥/잡곡밥,시래기국,훈제오리구이
쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음
쌀밥/잡곡밥,시금치국,닭감자조림
쌀밥/잡곡밥,쇠고기무국,탕수어
쌀밥/잡곡밥,냉이된장국,쇠고기장조림
낙지비빔밥,유부장국,고구마치즈구이
쌀밥/잡곡밥,대구찌개,마늘간장치킨
쌀밥/오곡밥,쇠고기느타리국,갈치구이
쌀밥/잡곡밥,콩나물국,돈육간장볶음
비빔밥,팽이장국,소세지피망볶음
쌀밥/잡곡밥,북어계란국,닭갈비
쌀밥/잡곡밥,수제비국,오징어볶음
쌀밥/잡곡밥,얼갈이된장국,제육볶음
쌀밥/잡곡밥,쇠고기미역국,주꾸미볶음
쌀밥/잡곡밥,근대된장국,탕수육
쌀밥/잡곡밥,부대찌개,가자미튀김
쌀밥/잡곡밥,콩나물국,닭갈비
쌀밥/잡곡밥,차돌박이찌개,고등어김치말이
쌀밥/잡곡밥,북어국,돈육장조림
쌀밥/잡곡밥,고추장찌개,닭데리야끼조림
쌀밥/잡곡밥,배추된장국,수제돈가스
쌀밥/잡곡밥,어묵국,돈육고추장볶음
쌀밥/잡곡밥,쑥국,소불고기
곤드레밥,콩나물김치국,미니채소떡갈비
쌀밥/잡곡밥,사골우거지국,탕수어
쌀밥/잡곡밥,시금치국,훈제오리구이
쌀밥/잡곡밥,꽃게탕,버섯불고기
쌀밥/잡곡밥,쇠고기샤브국,코다리강정
콩나물밥*달래장,맑은국,치킨텐더*요거트D
쌀밥/잡곡밥,북어계란국,쇠고기장조림
쌀밥/잡곡밥,닭개장,자반고등어구이
쌀밥/잡곡밥,얼갈이된장국,닭갈비
쌀밥/잡곡밥,옹심이만두국,주꾸미볶음
봄새싹비빔밥,쪽파국,오징어튀김
쌀밥/잡곡밥,매운콩나물국,돈육굴소스볶음
쌀밥/잡곡밥,버섯들깨탕,갈치조림
쌀밥/잡곡밥,순두부찌개,쇠불고기
쌀밥/잡곡밥,북어국,오징어볶음*소면
쌀밥/잡곡밥,올갱이아욱국,제육볶음
쌀밥/잡곡밥,어묵국,매운돼지갈비찜
쌀밥/잡곡밥,배추된장국,순살양념치킨
쌀밥/잡곡밥,시래기국,훈제오리구이
쌀밥/잡곡밥,부대찌개,쇠고기단호박조림
쌀밥/잡곡밥,수제비국,돈육굴소스볶음
쌀밥/잡곡밥,냉이된장찌개,닭데리야끼조림
쌀밥/잡곡밥,배추된장국,돈육강정
쌀밥/잡곡밥,육개장,꽁치한마리구이
콩나물밥,근대된장국,매콤떡갈비조림
쌀밥/잡곡밥,대구매운탕,쇠고기볶음
쌀밥/잡곡밥,북어국,등갈비김치찜
쌀밥/잡곡밥,콩나물국,돈간장불고기
쌀밥/잡곡밥,쇠고기무국,주꾸미볶음
나물비빔밥,미소장국,궁중떡찜
쌀밥/잡곡밥,미역국,양념파닭
쌀밥/잡곡밥,돈육김치찌개,미트볼조림
쌀밥/잡곡밥,시금치국,닭갈비
곤드레밥,무채국,모둠장조림
쌀밥/잡곡밥,쇠고기샤브국,오징어볶음
쌀밥/잡곡밥,매운어묵국,훈제오리구이
