일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
2021-01-27,수,2983,88,182,5,358.0,단호박죽/흑미밥,우거지국,고기완자전,쌀밥/흑미밥/찰현미밥,대구지리,매운돈갈비찜,흑미밥,얼큰순두부찌개,쇠고기우엉볶음
2021-01-28,목,2983,104,212,409,348.0,누룽지탕/흑미밥,황태국,시래기지짐,쌀밥/보리밥/찰현미밥,우렁된장찌개,오리주물럭,충무김밥,우동국물,오징어무침
2021-01-29,금,2983,270,249,0,294.0,오곡죽/흑미밥,매생이굴국,고구마순볶음,쌀밥/흑미밥/찰현미밥,팽이장국,수제돈까스*소스,흑미밥,물만둣국,카레찜닭
2021-02-01,월,2924,108,154,538,322.0,누룽지탕/흑미밥,두부김칫국,새우완자전,쌀밥/흑미밥/찰현미밥,배추들깨국,오리대패불고기,흑미밥,동태탕,돈육꽈리고추장조림
2021-02-02,화,2924,62,186,455,314.0,채소죽/흑미밥,호박맑은국,오이생채,쌀밥/팥밥/찰현미밥,부대찌개,닭살데리야끼조림,흑미밥,바지락살국,쇠고기청경채볶음
2021-02-03,수,2924,59,199,5,286.0,소고기죽/흑미밥,시래기된장국,베이컨숙주볶음,쌀밥/흑미밥/찰현미밥,아욱국,매콤해물볶음,오므라이스,가쓰오장국,빌소세지구이*구운채소
2021-02-04,목,2924,61,211,476,288.0,누룽지탕/흑미밥,아욱국,새송이버섯곤약장조림,쌀밥/차조밥/찰현미밥,설렁탕,고등어김치말이찜,흑미밥,계란파국,돈육두루치기
2021-02-05,금,2924,169,252,0,256.0,고구마죽/흑미밥,옹심이국,머위나물무침,쌀밥/흑미밥/찰현미밥,북엇국,닭볶음탕,유부초밥/추가밥,온메밀소바,국물떡볶이
2021-02-08,월,2924,88,174,690,329.0,누룽지탕/흑미밥,꽃게탕,근대나물무침,쌀밥/흑미밥/찰현미밥,감자양파국,돈수육*씨앗쌈장,흑미밥,냉이국,반반치킨
2021-02-09,화,2924,94,183,542,329.0,팥죽/흑미밥,맑은버섯국,시금치나물무침,쌀밥/기장밥/찰현미밥,장각백숙,적어양념장구이,흑미밥,미역국,매운소불고기
2021-02-10,수,2924,489,134,0,233.0,옥수수스프/흑미밥,우거지국,스팸구이,유니짜장밥,짬뽕국,수제찹쌀꿔바로우,흑미밥,참치김치찌개,오징어굴소스볶음
2021-02-15,월,2924,178,131,795,355.0,누룽지탕/흑미밥,열무된장국,분홍소세지구이*케찹,쌀밥/흑미밥/찰현미밥,떡국,소갈비찜,흑미밥,순두부백탕,수제치킨까스
2021-02-16,화,2924,70,175,815,413.0,흑임자죽/흑미밥,대구매운탕,가지나물,쌀밥/수수밥/찰현미밥,육개장,닭살겨자냉채,흑미밥,손수제비국,쇠고기낙지볶음
2021-02-17,수,2924,77,181,3,379.0,단호박크림스프/흑미밥,사골파국,양념깻잎지,쌀밥/흑미밥/찰현미밥,미니쌀국수,삼겹살고추장구이,곤드레밥,황태국,찰떡떡갈비조림
2021-02-18,목,2924,83,247,594,338.0,누룽지탕/흑미밥,봄동된장국,참치채소볶음,쌀밥/완두콩밥/찰현미밥,김치어묵탕,수원왕갈비통닭,흑미밥,바지락된장찌개,제육볶음
2021-02-19,금,2924,176,268,1,280.0,쇠고기죽/흑미밥,닭살해장국,해물완자전*케찹,쌀밥/흑미밥/찰현미밥,유부장국,해물누룽지탕,흑미밥,버섯들깨탕,아귀콩나물찜
