본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,연,월,일,요일_찐,개꿀가능성,휴일전날,휴일다음날,대면출근자,중식_밥,중식_메인요리,중식_국
2601,50,150,238,0.0,1039.0,2016,2,1,0,0,0,0,2551.0,53,250,199
2601,50,173,319,0.0,867.0,2016,2,2,1,0,0,0,2551.0,53,20,32
2601,56,180,111,0.0,1017.0,2016,2,3,2,0,0,0,2545.0,72,354,261
2601,104,220,355,0.0,978.0,2016,2,4,3,0,0,0,2497.0,53,329,158
2601,278,181,34,0.0,925.0,2016,2,5,4,0,0,0,2323.0,53,119,79
2601,383,143,417,0.0,1045.0,2016,2,11,3,0,0,1,2218.0,53,408,172
2601,389,156,93,0.0,909.0,2016,2,12,4,0,0,0,2212.0,53,111,39
2601,87,204,482,0.0,1268.0,2016,2,15,0,0,0,0,2514.0,53,79,170
2601,72,236,526,0.0,1014.0,2016,2,16,1,0,0,0,2529.0,53,374,158
2601,78,250,23,0.0,916.0,2016,2,17,2,0,0,0,2523.0,53,249,45
2601,77,254,367,0.0,910.0,2016,2,18,3,0,0,0,2524.0,17,39,219
2601,145,252,69,0.0,763.0,2016,2,19,4,0,0,0,2456.0,53,145,56
2601,90,207,434,0.0,1298.0,2016,2,22,0,0,0,0,2511.0,49,30,155
2601,57,237,488,0.0,899.0,2016,2,23,1,0,0,0,2544.0,53,106,247
2601,54,232,14,0.0,1022.0,2016,2,24,2,0,0,0,2547.0,30,240,261
2601,56,261,335,0.0,917.0,2016,2,25,3,0,0,0,2545.0,53,78,129
2601,144,278,42,0.0,766.0,2016,2,26,4,0,0,0,2457.0,53,299,163
2601,595,168,110,0.0,869.0,2016,2,29,0,1,1,0,2006.0,53,325,186
2624,127,182,261,0.0,1127.0,2016,3,2,2,0,0,1,2497.0,53,329,160
2624,61,224,351,0.0,1000.0,2016,3,3,3,0,0,0,2563.0,53,375,27
2624,83,247,79,0.0,837.0,2016,3,4,4,0,0,0,2541.0,53,20,127
2624,50,195,456,0.0,1326.0,2016,3,7,0,0,0,0,2574.0,53,78,247
2624,47,212,426,0.0,1026.0,2016,3,8,1,0,0,0,2577.0,53,46,238
2624,43,225,0,0.0,901.0,2016,3,9,2,0,0,0,2581.0,53,120,130
2624,55,245,290,0.0,847.0,2016,3,10,3,0,0,0,2569.0,53,85,21
2624,108,275,76,0.0,728.0,2016,3,11,4,0,0,0,2516.0,53,257,118
