일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,조식_밥,조식_국,조식_반찬,점심_밥,점심_국,점심_반찬,저녁_밥,저녁_국,저녁_반찬
2016-02-01,월,2601,50,150,238,0.0,1039.0,331.0,호두죽/쌀밥,된장찌개,쥐어채무침,쌀밥/잡곡밥,오징어찌개,쇠불고기,쌀밥/잡곡밥,육개장,자반고등어구이
2016-02-02,화,2601,50,173,319,0.0,867.0,560.0,팥죽/쌀밥,호박젓국찌개,시래기조림,쌀밥/잡곡밥,김치찌개,가자미튀김,콩나물밥*양념장,어묵국,유산슬
2016-02-03,수,2601,56,180,111,0.0,1017.0,573.0,표고버섯죽/쌀밥,콩나물국,느타리호박볶음,카레덮밥,팽이장국,치킨핑거,쌀밥/잡곡밥,청국장찌개,황태양념구이
2016-02-04,목,2601,104,220,355,0.0,978.0,525.0,닭죽/쌀밥,근대국,멸치볶음,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,미니김밥*겨자장,우동,멕시칸샐러드
2016-02-05,금,2601,278,181,34,0.0,925.0,330.0,쇠고기죽/쌀밥,재첩국,방풍나물,쌀밥/잡곡밥,떡국,돈육씨앗강정,쌀밥/잡곡밥,차돌박이찌개,닭갈비
2016-02-11,목,2601,383,143,417,0.0,1045.0,550.0,견과류죽/쌀밥,감자찌개,명엽채무침,쌀밥/잡곡밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두
2016-02-12,금,2601,389,156,93,0.0,909.0,598.0,고구마죽/쌀밥,봄동된장국,숙주나물,쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음,쌀밥/잡곡밥,김치콩나물국,미니함박
2016-02-15,월,2601,87,204,482,0.0,1268.0,672.0,잣죽/쌀밥,민물새우찌개,콩조림,쌀밥/잡곡밥,시금치국,닭감자조림,쌀밥/잡곡밥,홍합미역국,등갈비김치찜
2016-02-16,화,2601,72,236,526,0.0,1014.0,523.0,단호박죽/쌀밥,어묵국,김구이,쌀밥/잡곡밥,쇠고기무국,탕수어,쌀밥/잡곡밥,된장찌개,쇠불고기
2016-02-17,수,2601,78,250,23,0.0,916.0,588.0,흑임자죽/쌀밥,북어계란국,무생채,쌀밥/잡곡밥,냉이된장국,쇠고기장조림,볶음밥*자장소스,맑은국,새우또띠아
2016-02-18,목,2601,77,254,367,0.0,910.0,489.0,계란후라이,선지해장국,톳두부무침,낙지비빔밥,유부장국,고구마치즈구이,쌀밥/잡곡밥,순두부찌개,명태조림
2016-02-19,금,2601,145,252,69,0.0,763.0,597.0,밤죽/쌀밥,홍합탕,오이생채,쌀밥/잡곡밥,대구찌개,마늘간장치킨,쌀밥/잡곡밥,설렁탕,김치전
2016-02-22,월,2601,90,207,434,0.0,1298.0,645.0,브로컬리죽/쌀밥,고추장찌개,시금치나물,쌀밥/오곡밥,쇠고기느타리국,갈치구이,쌀밥/잡곡밥,옹심이만두국,떡갈비조림
2016-02-23,화,2601,57,237,488,0.0,899.0,610.0,닭죽/쌀밥,재첩국,참나물땅콩가루무침,쌀밥/잡곡밥,콩나물국,돈육간장볶음,쌀밥/잡곡밥,콩비지찌개,해물까스&타르타르소스
2016-02-24,수,2601,54,232,14,0.0,1022.0,514.0,김치죽/쌀밥,무채국,애호박나물,비빔밥,팽이장국,소세지피망볶음,쌀밥/잡곡밥,열무된장국,매운돼지갈비찜
2016-02-25,목,2601,56,261,335,0.0,917.0,531.0,쇠고기죽/쌀밥,봄동된장국,어묵볶음,쌀밥/잡곡밥,북어계란국,닭갈비,김밥,잔치국수,교자만두
2016-02-26,금,2601,144,278,42,0.0,766.0,585.0,밤죽/쌀밥,꽃게탕,시래기조림,쌀밥/잡곡밥,수제비국,오징어볶음,쌀밥/잡곡밥,닭개장,삼치구이
2016-02-29,월,2601,595,168,110,0.0,869.0,344.0,호두죽/쌀밥,콩나물김치국,곰피초장,쌀밥/잡곡밥,얼갈이된장국,제육볶음,쌀밥/잡곡밥,버섯들깨탕,꽁치한마리구이
2016-03-02,수,2624,127,182,261,0.0,1127.0,631.0,참치야채죽/쌀밥,올갱이아욱국,오이무침,쌀밥/잡곡밥,쇠고기미역국,주꾸미볶음,쌀밥/잡곡밥,된장찌개,버섯불고기
2016-03-03,목,2624,61,224,351,0.0,1000.0,473.0,팥죽/쌀밥,피바지락국,가지볶음,쌀밥/잡곡밥,근대된장국,탕수육,멸치주먹밥,우동,떡볶이
2016-03-04,금,2624,83,247,79,0.0,837.0,673.0,야채죽/쌀밥,시금치국,볼어묵볶음,쌀밥/잡곡밥,부대찌개,가자미튀김,쌀밥/잡곡밥,오징어국,미트볼조림
2016-03-07,월,2624,50,195,456,0.0,1326.0,625.0,땅콩죽/쌀밥,무채국,쑥갓무침,쌀밥/잡곡밥,콩나물국,닭갈비,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음
2016-03-08,화,2624,47,212,426,0.0,1026.0,609.0,새송이죽/쌀밥,호박젓국찌개,유채나물,쌀밥/잡곡밥,차돌박이찌개,고등어김치말이,카레덮밥,가쯔오장국,수제고로케*케찹
2016-03-09,수,2624,43,225,0,0.0,901.0,523.0,단호박죽/쌀밥,어묵국,김자반,쌀밥/잡곡밥,북어국,돈육장조림,쌀밥/잡곡밥,육개장,생선까스*탈탈소스
2016-03-10,목,2624,55,245,290,0.0,847.0,525.0,녹두죽/쌀밥,냉이된장국,명엽채무침,쌀밥/잡곡밥,고추장찌개,닭데리야끼조림,볶음밥,짬뽕,개성감자만두
