iter	MAE
0	54444.17889
1	53286.12825
2	52165.50211
3	51063.26828
4	50127.31972
5	49043.60246
6	48034.98862
7	47255.31338
8	46340.85664
9	45494.13577
10	44652.8027
11	43917.62368
12	43169.30879
13	42430.52437
14	41824.06718
15	41056.83706
16	40409.30858
17	39725.56295
18	39235.0863
19	38676.19889
20	38016.49222
21	37475.22218
22	36868.58776
23	36305.3539
24	35754.67647
25	35222.47362
26	34715.62256
27	34177.83152
28	33800.15679
29	33311.49366
30	32853.93387
31	32410.57822
32	32006.65225
33	31583.01674
34	31237.20924
35	30841.84096
36	30444.85856
37	30145.08576
38	29804.69828
39	29454.82548
40	29125.13484
41	28812.35725
42	28495.02379
43	28191.92374
44	27928.35187
45	27698.33396
46	27428.17373
47	27204.22686
48	26930.20725
49	26686.96144
50	26465.29016
51	26286.08579
52	26009.37036
53	25787.24544
54	25571.9055
55	25344.12421
56	25135.6275
57	24934.64735
58	24752.74645
59	24559.53274
60	24378.97751
61	24217.83066
62	24062.23486
63	23907.29255
64	23775.23595
65	23576.96453
66	23416.58994
67	23281.64651
68	23124.47684
69	22974.05361
70	22854.82078
71	22706.58813
72	22581.02447
73	22443.30106
74	22341.46539
75	22191.54278
76	22054.67451
77	21931.11935
78	21826.54668
79	21700.42474
80	21599.20348
81	21521.81855
82	21433.88129
83	21349.63988
84	21259.53079
85	21152.52976
86	21053.99629
87	20961.32083
88	20872.67091
89	20741.91736
90	20680.74593
91	20563.8433
92	20497.66938
93	20421.83266
94	20361.1764
95	20257.0385
96	20167.95054
97	20094.21814
98	20017.16316
99	19966.45291
100	19864.68681
101	19803.20765
102	19740.76591
103	19662.01639
104	19609.70939
105	19562.28642
106	19481.95612
107	19429.4101
108	19387.90082
109	19307.54812
110	19267.85768
111	19219.68173
112	19175.81744
113	19131.67533
114	19095.27192
115	19052.90075
116	19003.29459
117	18971.91659
118	18924.70322
119	18871.05883
120	18838.55478
121	18807.22769
122	18762.23357
123	18727.60167
124	18701.99847
125	18675.86685
126	18629.31248
127	18605.21291
128	18575.70447
129	18547.19078
130	18501.46736
131	18460.24364
132	18438.3593
133	18411.52613
134	18374.82416
135	18341.95033
136	18307.1799
137	18281.90978
138	18264.20377
139	18248.41235
140	18230.36157
141	18209.52563
142	18187.33076
143	18154.13797
144	18118.17573
145	18103.05756
146	18090.62402
147	18069.31109
148	18033.66377
149	18015.74235
150	18003.22795
151	17961.71559
152	17933.60087
153	17902.34532
154	17866.42222
155	17849.11737
156	17819.12442
157	17809.10913
158	17795.12776
159	17783.89186
160	17768.6898
161	17756.41144
162	17730.47073
163	17718.71603
164	17699.33328
165	17664.39605
166	17653.57733
167	17644.29256
168	17627.23767
169	17608.14019
170	17591.33193
171	17562.619
172	17544.74122
173	17524.32311
174	17513.38425
175	17478.32817
176	17456.50265
177	17439.3324
178	17430.07426
179	17420.38092
180	17411.20653
181	17394.37563
182	17370.62363
183	17358.20563
184	17343.57347
185	17332.46255
186	17320.79094
187	17305.77235
188	17293.00986
189	17286.45371
190	17277.00074
191	17257.20997
192	17254.62823
193	17234.64811
194	17226.86566
195	17213.89423
196	17192.65136
197	17173.55653
198	17165.65901
199	17149.85527
200	17136.78585
201	17122.34174
202	17117.10945
203	17110.24158
204	17103.47833
205	17083.59148
206	17072.01845
207	17053.21549
208	17050.21179
209	17032.5589
210	17022.45105
211	16998.93169
212	16967.30009
213	16953.32821
214	16947.07776
215	16926.84804
216	16916.41347
217	16908.01979
218	16898.95573
219	16892.47283
220	16886.85234
221	16881.74566
222	16867.08928
223	16857.70135
224	16844.7665
225	16826.83351
226	16819.69677
227	16798.89274
228	16781.74498
229	16770.88797
230	16752.48629
231	16739.19632
232	16733.6175
233	16725.73302
234	16707.65227
235	16683.4836
236	16675.09074
237	16661.97139
238	16642.39315
239	16638.30513
240	16606.92583
241	16590.98592
242	16576.71594
243	16565.8334
244	16561.3597
245	16539.13482
246	16511.95948
247	16500.06262
248	16490.28789
249	16477.16281
250	16456.13082
251	16448.51107
252	16442.86744
253	16435.16787
254	16416.06076
255	16404.72597
256	16396.17381
257	16372.18541
258	16358.59608
259	16351.13053
260	16342.01465
261	16331.28152
262	16323.05281
263	16305.71817
264	16286.86472
265	16266.37135
266	16258.97088
267	16240.73729
268	16214.1157
269	16188.33396
270	16173.19533
271	16163.64508
272	16143.71204
273	16128.15019
274	16118.76851
275	16110.49847
276	16098.40725
277	16084.33373
278	16079.27559
279	16069.93136
280	16060.81488
281	16045.51027
282	16034.59494
283	16022.00868
284	16006.33102
285	15996.82664
286	15981.16657
287	15976.46555
288	15963.50574
289	15949.83133
290	15936.51696
291	15910.71005
292	15903.05169
293	15895.32792
294	15883.41057
295	15878.1599
296	15870.94861
297	15865.42356
298	15854.94466
299	15840.59541
300	15830.90954
301	15821.12369
302	15809.44603
303	15799.24921
304	15778.88756
305	15766.47238
306	15761.34467
307	15752.8229
308	15740.03115
309	15723.46552
310	15716.91077
311	15695.71129
312	15683.89552
313	15674.98582
314	15666.80823
315	15653.18403
316	15634.66543
317	15615.71515
318	15602.69493
319	15593.90673
320	15584.23651
321	15568.06212
322	15562.6506
323	15550.75244
324	15536.32485
325	15527.57358
326	15521.18254
327	15515.63808
328	15507.81161
329	15504.33429
330	15492.98202
331	15480.39595
332	15453.869
333	15448.33855
334	15442.66269
335	15430.69385
336	15421.83978
337	15418.13137
338	15411.48049
339	15405.41573
340	15401.9998
341	15390.16752
342	15382.78964
343	15370.51396
344	15353.12012
345	15345.70189
346	15336.9159
347	15326.55378
348	15319.53848
349	15300.69256
350	15293.30264
351	15277.98245
352	15270.40991
353	15257.28302
354	15254.6068
355	15247.59711
356	15245.02235
357	15234.72494
358	15231.09906
359	15207.27096
360	15196.61457
361	15188.68233
362	15177.89993
363	15165.59321
364	15148.16067
365	15123.83757
366	15113.07272
367	15101.28419
368	15092.39547
369	15078.46909
370	15066.77225
371	15058.1105
372	15038.64695
373	15033.47235
374	15028.23085
375	15026.07483
376	15020.20557
377	15012.78137
378	15006.56867
379	14993.84897
380	14984.27039
381	14974.23854
382	14964.57225
383	14960.94354
384	14958.45304
385	14950.332
386	14942.59756
387	14923.9067
388	14916.84936
389	14908.02408
390	14900.72835
391	14881.5363
392	14873.21349
393	14861.63873
394	14857.61649
395	14847.11941
396	14827.71585
397	14815.52384
398	14798.23144
399	14789.63544
400	14780.65827
401	14777.28621
402	14765.22307
403	14742.29143
404	14735.88443
405	14727.59304
406	14720.52793
407	14716.38478
408	14707.8988
409	14705.70079
410	14697.21139
411	14688.13693
412	14679.95347
413	14674.64117
414	14669.56128
415	14663.10722
416	14659.70376
417	14648.22107
418	14642.65347
419	14630.98934
420	14623.1111
421	14610.49798
422	14602.33714
423	14591.38548
424	14588.7628
425	14583.89082
426	14570.89873
427	14565.58326
428	14562.09135
429	14547.44857
430	14533.56582
431	14526.8448
432	14521.65477
433	14513.78435
434	14508.05631
435	14502.38477
436	14488.06281
437	14486.45108
438	14475.74931
439	14464.65116
440	14457.09121
441	14443.44848
442	14434.10637
443	14428.12001
444	14423.36679
445	14414.40161
446	14406.78574
447	14401.49199
448	14396.55727
449	14390.08809
450	14387.69186
451	14370.53893
452	14355.91791
453	14350.84245
454	14347.25176
455	14339.80092
456	14333.52588
457	14327.30895
458	14322.43063
459	14313.38472
460	14304.79897
461	14300.79227
462	14289.87824
463	14285.13683
464	14273.32909
465	14268.93198
466	14267.0942
467	14258.89698
468	14251.7459
469	14244.75431
470	14241.15712
471	14238.53857
472	14222.98619
473	14220.21658
474	14213.50494
475	14209.88492
476	14204.58801
477	14199.46068
478	14196.9141
479	14192.87785
480	14189.4381
481	14184.2073
482	14175.22322
483	14160.05781
484	14155.17694
485	14147.66978
486	14136.05371
487	14130.07252
488	14123.03002
489	14121.45017
490	14116.5216
491	14108.71804
492	14100.82382
493	14098.27091
494	14087.94678
495	14081.14905
496	14077.94757
497	14074.04503
498	14066.26358
499	14055.62403
500	14048.53906
501	14047.05548
502	14042.22967
503	14036.07663
504	14035.73601
505	14026.32179
506	14020.19121
507	14015.31191
508	14010.11836
509	14006.88634
510	14005.08031
511	14001.12139
512	13996.47067
513	13995.41709
514	13991.90872
515	13976.80988
516	13974.18234
517	13967.28069
518	13963.60426
519	13953.41161
520	13947.32791
521	13937.75031
522	13928.75856
523	13925.25679
524	13913.21451
525	13909.82674
526	13908.09613
527	13903.62502
528	13901.42568
529	13891.92609
530	13890.60399
531	13878.26981
532	13873.58898
533	13869.08616
534	13865.29481
535	13864.16028
536	13861.43033
537	13840.06312
538	13835.50695
539	13820.84492
540	13814.33346
541	13810.1298
542	13805.69292
543	13799.90845
544	13795.2949
545	13789.40493
546	13788.29422
547	13783.47419
548	13777.23127
549	13769.4379
550	13762.52484
551	13755.95155
552	13743.16795
553	13735.72593
554	13733.53521
555	13727.66559
556	13725.10966
557	13720.45721
558	13717.54311
559	13715.07018
560	13707.64925
561	13694.26092
562	13687.7293
563	13683.44264
564	13681.06134
565	13672.501
566	13671.73675
567	13668.34157
568	13660.67199
569	13658.92869
570	13652.38158
571	13645.77247
572	13628.39479
573	13626.71337
574	13624.1077
575	13620.76732
576	13606.24493
577	13603.76557
578	13601.21282
579	13597.49128
580	13589.51893
581	13586.92705
582	13585.00514
583	13576.40006
584	13571.20305
585	13570.60287
586	13568.1815
587	13565.42507
588	13564.49587
589	13561.46837
590	13560.72074
591	13551.97014
592	13543.48659
593	13543.07009
594	13538.33954
595	13538.123
596	13534.34567
597	13527.8345
598	13526.26403
599	13513.46907
600	13508.79783
601	13502.91434
602	13497.2848
603	13492.70076
604	13491.66795
605	13489.01152
606	13484.70703
607	13483.66428
608	13476.8393
609	13473.32714
610	13469.15083
611	13463.89252
612	13460.55027
613	13455.4207
614	13453.49
615	13450.74876
616	13447.38262
617	13441.62487
618	13440.10345
619	13438.4174
620	13437.50408
621	13435.24814
622	13421.72998
623	13417.56291
624	13416.59049
625	13414.24258
626	13411.66447
627	13405.09555
628	13396.0481
629	13385.95273
630	13383.19469
631	13373.03631
632	13369.90785
633	13366.96531
634	13350.25204
635	13345.27538
636	13340.56753
637	13335.24204
638	13334.95871
639	13330.7247
640	13325.33594
641	13320.87452
642	13316.6986
643	13311.82671
644	13310.05698
645	13307.83494
646	13303.07128
647	13295.67866
648	13294.10116
649	13290.72851
650	13289.95265
651	13286.66371
652	13284.39239
653	13276.54703
654	13259.98269
655	13250.35705
656	13247.14268
657	13239.43584
658	13237.57543
659	13230.03848
660	13221.90194
661	13220.61641
662	13213.36164
663	13207.74884
664	13205.94032
665	13201.76069
666	13199.5713
667	13196.07297
668	13194.46085
669	13191.33879
670	13188.04244
671	13182.90666
672	13171.04141
673	13166.5895
674	13161.2727
675	13159.14431
676	13157.04694
677	13152.91289
678	13150.39271
679	13149.11761
680	13144.41338
681	13140.14418
682	13137.97845
683	13135.15867
684	13134.32781
685	13132.57284
686	13127.16453
687	13120.87254
688	13118.90056
689	13113.64325
690	13105.34722
691	13102.54208
692	13093.40921
693	13091.01852
694	13087.15461
695	13083.98996
696	13081.07159
697	13078.91501
698	13075.67679
699	13072.28872
700	13070.91623
701	13064.74756
702	13064.0258
703	13062.61495
704	13059.59388
705	13057.8658
706	13054.72289
707	13052.22221
708	13043.42466
709	13041.8578
710	13036.75818
711	13028.70338
712	13026.86321
713	13024.02548
714	13023.27406
715	13018.91448
716	13011.40143
717	13009.34267
718	13005.55918
719	13002.59749
720	12996.07444
721	12994.90934
722	12991.69389
723	12988.86251
724	12981.57201
725	12978.42753
726	12975.95429
727	12973.66421
728	12971.40069
729	12968.68166
730	12965.27342
731	12959.67529
732	12957.7159
733	12954.30723
734	12948.76832
735	12935.0785
736	12934.48683
737	12931.75363
738	12926.78074
739	12920.7016
740	12917.70374
741	12917.08577
742	12916.22105
743	12906.02043
744	12900.49892
745	12899.38278
746	12898.5899
747	12896.38458
748	12895.71428
749	12892.67601
750	12891.33899
751	12888.69841
752	12882.48233
753	12880.79436
754	12879.21527
755	12877.64453
756	12873.71483
757	12870.85499
758	12867.69905
759	12865.16207
760	12864.32173
761	12863.18245
762	12862.82784
763	12856.06927
764	12855.02177
765	12851.46225
766	12848.61816
767	12844.35726
768	12839.65389
769	12836.93515
770	12834.87507
771	12833.25123
772	12831.51509
773	12826.623
774	12823.82428
775	12819.57117
776	12817.28456
777	12813.96314
778	12807.87074
779	12802.25531
780	12800.24412
781	12796.7845
782	12793.60077
783	12791.32913
784	12788.28914
785	12787.45432
786	12785.36397
787	12783.82761
788	12775.14673
789	12773.02046
790	12767.16555
791	12764.6309
792	12763.43432
793	12758.3574
794	12753.31009
795	12748.44794
796	12745.53358
797	12742.24392
798	12738.26408
799	12735.97006
800	12732.52919
801	12729.79684
802	12729.25099
803	12728.26188
804	12727.57333
805	12721.91439
806	12717.93459
807	12710.31495
808	12708.43634
809	12702.82156
810	12697.26388
811	12696.36003
812	12692.00932
813	12690.71624
814	12688.04763
815	12686.43252
816	12683.11393
817	12675.89253
818	12670.05734
819	12665.13833
820	12662.18996
821	12660.60924
822	12657.42778
823	12651.0962
824	12636.10331
825	12634.56919
826	12633.01399
827	12624.69358
828	12620.91464
829	12618.39003
830	12617.63629
831	12608.16963
832	12604.56907
833	12603.71232
834	12602.50163
835	12599.71122
836	12598.06119
837	12596.8217
838	12594.80431
839	12591.55246
840	12589.40074
841	12585.58084
842	12579.80222
843	12578.21805
844	12570.70252
845	12568.38389
846	12568.09893
847	12566.72606
848	12562.36191
849	12560.19408
850	12559.71453
851	12555.46105
852	12551.31527
853	12548.17201
854	12546.09086
855	12536.91875
856	12536.50155
857	12529.73319
858	12526.11505
859	12525.28299
860	12523.10287
861	12522.12919
862	12518.457
863	12516.90263
864	12515.60399
865	12514.79312
866	12507.48595
867	12505.40341
868	12497.34887
869	12496.29435
870	12494.34914
871	12492.56187
872	12490.93243
873	12489.3615
874	12487.04948
875	12485.70015
876	12484.91895
877	12483.24833
878	12479.38393
879	12474.88934
880	12474.42514
881	12473.08854
882	12469.17254
883	12465.49243
884	12461.94049
885	12460.50572
886	12459.48517
887	12456.81861
888	12450.84842
889	12449.7032
890	12446.17457
891	12441.83063
892	12435.9904
893	12434.66115
894	12433.66189
895	12432.78803
896	12432.25075
897	12423.34922
898	12421.72106
899	12420.3063
900	12418.73494
901	12415.8096
902	12415.67054
903	12414.93856
904	12411.86533
905	12407.93572
906	12403.82262
907	12402.91448
908	12401.15596
909	12400.06076
910	12399.00311
911	12396.43356
912	12395.55639
913	12389.48711
914	12386.23381
915	12376.63427
916	12373.93892
917	12372.60025
918	12370.12679
919	12364.7081
920	12356.9513
921	12355.87959
922	12355.54705
923	12354.01266
924	12352.13787
925	12349.03737
926	12345.82801
927	12343.89292
928	12342.14288
929	12340.86346
930	12338.42365
931	12337.70268
932	12331.91108
933	12331.47367
934	12328.13108
935	12324.89724
936	12322.10872
937	12320.64328
938	12315.79842
939	12312.73044
940	12312.21911
941	12311.28386
942	12307.18114
943	12300.22807
944	12298.27803
945	12293.46463
946	12291.03224
947	12283.22739
948	12281.2789
949	12278.41958
950	12276.23272
951	12273.93478
952	12268.93226
953	12266.1786
954	12263.84612
955	12263.60328
956	12260.7412
957	12248.60609
958	12247.5547
959	12246.65409
960	12244.48805
961	12241.75045
962	12236.50291
963	12235.74967
964	12235.10696
965	12232.27939
966	12231.97019
967	12230.36511
968	12228.03009
969	12219.1202
970	12217.96611
971	12214.44421
972	12209.69411
973	12208.94044
974	12208.34403
975	12206.00924
976	12205.952
977	12200.32042
978	12198.10441
979	12189.18712
980	12185.29323
981	12179.26094
982	12174.77315
983	12174.5226
984	12174.34753
985	12173.09608
986	12171.36107
987	12168.18206
988	12166.68422
989	12165.24591
990	12164.94336
991	12163.5057
992	12156.58215
993	12155.3969
994	12152.03663
995	12147.67114
996	12144.10649
997	12143.97056
998	12142.85125
999	12135.49065
1000	12129.33852
1001	12123.60901
1002	12119.30992
1003	12112.69923
1004	12112.34289
1005	12105.418
1006	12102.15041
1007	12101.22713
1008	12099.00208
1009	12098.66332
1010	12096.28294
1011	12094.33451
1012	12092.31703
1013	12086.80588
1014	12086.39842
1015	12084.55919
1016	12083.51774
1017	12081.06045
1018	12078.59487
1019	12077.42275
1020	12067.50858
1021	12063.9858
1022	12060.53152
1023	12060.0154
1024	12058.94173
1025	12056.58775
1026	12053.39986
1027	12052.37642
1028	12048.90944
1029	12047.44254
1030	12045.5551
1031	12042.32414
1032	12041.8398
1033	12036.50118
1034	12036.23224
1035	12034.55021
1036	12033.71142
1037	12029.62053
1038	12020.95476
1039	12018.66577
1040	12017.37718
1041	12017.18646
1042	12015.52425
1043	12010.05407
1044	12002.31594
1045	11999.15562
1046	11998.58949
1047	11997.38008
1048	11991.10153
1049	11988.33113
1050	11987.83059
1051	11985.34448
1052	11982.74808
1053	11978.77732
1054	11977.01689
1055	11971.85195
1056	11970.07884
1057	11968.39058
1058	11966.49172
1059	11965.81469
1060	11962.37989
1061	11962.18583
1062	11961.24046
1063	11960.44451
1064	11956.66942
1065	11955.277
1066	11952.81566
1067	11947.01943
1068	11944.4694
1069	11943.81426
1070	11941.88726
1071	11940.97884
1072	11938.89219
1073	11934.18948
1074	11932.69061
1075	11930.09639
1076	11926.63174
1077	11924.07062
1078	11923.35865
1079	11922.69725
1080	11921.2898
1081	11917.71729
1082	11916.3721
1083	11914.01692
1084	11910.87742
1085	11907.73142
1086	11907.05839
1087	11906.64721
1088	11905.42684
1089	11903.81226
1090	11902.42084
1091	11899.76147
1092	11893.59763
1093	11892.9776
1094	11892.16731
1095	11890.67364
1096	11890.14133
1097	11883.35462
1098	11881.76069
1099	11880.46348
1100	11876.2048
1101	11874.44608
1102	11872.22421
1103	11871.8322
1104	11868.23124
1105	11865.84952
1106	11864.99838
1107	11862.85517
1108	11860.96072
1109	11848.98835
1110	11847.6231
1111	11845.74463
1112	11844.7801
1113	11836.67997
1114	11835.89181
1115	11833.39888
1116	11832.04904
1117	11831.76331
1118	11828.86885
1119	11827.58914
1120	11825.81022
1121	11825.46479
1122	11825.37348
1123	11823.99675
1124	11821.28171
1125	11820.50717
1126	11817.60533
1127	11815.24983
1128	11814.68481
1129	11812.2909
1130	11809.0874
1131	11807.6746
1132	11796.67139
1133	11794.01445
1134	11791.61429
1135	11791.46726
1136	11791.21191
1137	11787.2656
1138	11787.01606
1139	11785.78061
1140	11784.19297
1141	11781.2023
1142	11779.10746
1143	11776.61646
1144	11775.92585
1145	11772.36886
1146	11771.08474
1147	11769.51726
