iter	Passed	Remaining
0	2	6763
1	3	5200
2	4	4359
3	5	3787
4	5	3387
5	6	3083
6	6	2924
7	7	2736
8	7	2607
9	9	2727
10	9	2669
11	10	2622
12	11	2558
13	11	2475
14	12	2415
15	12	2354
16	13	2301
17	13	2261
18	14	2215
19	16	2390
20	16	2376
21	17	2357
22	18	2329
23	18	2305
24	19	2301
25	20	2292
26	21	2333
27	21	2320
28	22	2303
29	23	2280
30	23	2262
31	24	2237
32	24	2209
33	25	2182
34	25	2157
35	25	2135
36	26	2113
37	27	2136
38	27	2122
39	28	2118
40	29	2104
41	29	2088
42	30	2070
43	30	2053
44	31	2038
45	31	2021
46	31	2006
47	32	2010
48	33	2009
49	34	2006
50	34	1991
51	34	1978
52	35	1965
53	35	1952
54	36	1939
55	36	1927
56	37	1915
57	37	1904
58	37	1893
59	38	1894
60	39	1895
61	40	1896
62	40	1886
63	40	1877
64	41	1872
65	41	1863
66	42	1855
67	42	1846
68	43	1838
69	43	1830
70	44	1822
71	45	1836
72	45	1834
73	46	1828
74	46	1822
75	47	1814
76	47	1807
77	48	1799
78	48	1792
79	48	1785
80	49	1780
81	49	1773
82	50	1768
83	51	1776
84	51	1775
85	52	1769
86	52	1763
87	53	1756
88	53	1751
89	54	1746
90	54	1742
91	54	1737
92	55	1731
93	55	1726
94	56	1721
95	57	1728
96	57	1730
97	58	1725
98	58	1720
99	59	1715
100	59	1709
101	60	1705
102	60	1702
103	60	1697
104	61	1692
105	61	1688
106	62	1684
107	63	1690
108	63	1692
109	64	1688
110	64	1684
111	65	1680
112	65	1676
113	66	1672
114	66	1669
115	67	1668
116	67	1667
117	68	1663
118	69	1675
119	69	1676
120	70	1672
121	70	1667
122	71	1663
123	71	1659
124	71	1655
125	72	1651
126	72	1648
127	73	1645
128	73	1642
129	74	1639
130	74	1640
131	75	1637
132	76	1639
133	76	1639
134	77	1636
135	77	1633
136	78	1630
137	78	1626
138	78	1624
139	79	1621
140	79	1621
141	81	1631
142	81	1633
143	82	1631
144	82	1627
145	83	1624
146	83	1621
147	84	1619
148	84	1616
149	84	1613
150	85	1610
151	85	1607
152	86	1604
153	87	1608
154	87	1608
155	88	1606
156	88	1603
157	88	1600
158	89	1598
159	89	1595
160	90	1592
161	90	1590
162	91	1587
163	91	1585
164	92	1583
165	93	1587
166	93	1588
167	94	1586
168	94	1583
169	94	1581
170	95	1578
171	95	1576
172	96	1573
173	96	1571
174	97	1568
175	97	1566
176	98	1565
177	98	1569
178	99	1569
179	100	1568
180	100	1565
181	100	1563
182	101	1561
183	101	1559
184	102	1557
185	102	1555
186	103	1552
187	103	1550
188	104	1553
189	105	1553
190	105	1553
191	106	1551
192	106	1550
193	107	1548
194	107	1546
195	107	1544
196	108	1542
197	108	1540
198	109	1538
199	109	1536
200	110	1540
201	111	1540
202	111	1540
203	112	1538
204	112	1536
205	113	1534
206	113	1532
207	114	1530
208	114	1528
209	114	1526
210	115	1525
211	115	1523
212	116	1529
213	117	1530
214	118	1528
215	118	1527
216	119	1526
217	119	1524
218	119	1523
219	120	1520
220	120	1519
221	121	1516
222	121	1515
223	122	1521
224	123	1521
225	123	1520
226	124	1518
227	124	1516
228	125	1514
229	125	1512
230	126	1510
231	126	1509
232	126	1507
233	127	1505
234	127	1503
235	128	1509
236	129	1509
237	129	1507
238	130	1505
239	130	1504
240	131	1502
241	131	1500
242	132	1501
243	132	1500
244	133	1498
245	133	1497
246	134	1500
247	135	1500
248	135	1500
249	136	1499
250	136	1497
251	137	1495
252	137	1493
253	138	1492
254	138	1490
255	138	1488
256	139	1487
257	139	1486
258	140	1490
259	141	1490
260	141	1490
261	142	1488
262	142	1486
263	143	1485
264	143	1483
265	144	1482
266	144	1480
267	145	1480
268	145	1480
269	146	1484
270	147	1484
271	148	1485
272	148	1484
273	149	1483
274	149	1483
275	150	1482
276	150	1481
277	151	1481
278	151	1480
