,0
0,295848.8466666667
1,129917.91666666667
2,176860.21666666667
3,220463.58333333334
4,130983.97333333333
5,144560.33333333334
6,182050.14
7,119745.75666666667
8,142452.33333333334
9,282879.32
10,237169.66666666666
11,123552.36666666667
12,159797.5
13,144010.56333333332
14,109137.81
15,129536.61
16,121412.0
17,196856.99666666667
18,194813.01
19,132858.61333333334
20,151069.70666666667
21,126083.47666666667
22,168351.6
23,249564.51666666666
24,187398.99666666667
25,294070.25666666665
26,143365.25
27,254543.16666666666
28,146772.1
29,89504.63
30,116987.75
31,126980.89666666667
32,175385.585
33,163015.28
34,300272.26
35,128287.89333333333
36,170899.26333333334
37,212754.43666666668
38,167242.99
39,306512.7266666667
40,252744.53333333333
41,118612.75
42,102525.5
43,134086.83333333334
44,200380.69444444444
45,184324.61
46,204930.86416666667
47,102772.24888888889
48,172350.13333333333
49,124475.16666666667
50,164137.85
51,224173.5
52,162728.38
53,196768.58333333334
54,227256.76333333334
55,126149.33333333333
56,282472.74333333335
57,123008.5
58,113529.25
59,127630.28333333334
60,133576.79333333333
61,260422.44333333333
62,107793.27555555556
63,250945.5
64,230349.72555555552
65,130801.28333333334
66,168366.38444444444
67,196227.7025
68,272328.49666666664
69,129974.83333333333
70,123244.65333333334
71,242647.30111111116
72,137029.83333333334
73,129867.25
74,208863.17333333334
75,114465.92333333334
76,94254.96333333333
77,144964.48333333334
78,166282.08333333334
79,134233.41666666666
80,104106.09666666666
81,198285.70166666666
82,181696.8
83,217104.82
84,131589.98666666666
85,87758.69444444444
86,97891.5
87,151661.5
88,125645.84666666666
89,162338.36333333334
90,110786.83333333333
91,147722.68
92,148975.95666666667
93,131371.37666666668
94,160159.99333333335
95,298158.73333333334
96,161187.12422222225
97,144722.59
98,196912.08333333334
99,222756.09333333332
100,223726.25666666665
101,191261.46
102,131442.16666666666
103,194391.99
104,301402.5966666667
105,226374.38
106,99862.0911111111
107,149706.06
108,183061.5
109,296478.5233333333
110,123360.63666666667
111,203031.75
112,151831.21666666667
113,121386.6
114,128227.16666666667
115,122677.5
116,192842.3322222222
117,297836.0233333333
118,188580.19333333333
119,195882.22638888887
120,307656.7833333333
121,180018.07
122,90667.7
123,142452.91333333333
124,280207.00333333336
125,254695.18666666668
126,259679.47666666665
127,214822.37666666668
128,291235.70666666667
129,135590.4
130,222265.07714285713
131,147069.0
132,254927.00666666665
133,279026.7033333333
134,195612.91666666666
135,189272.22133333335
136,209555.24333333335
137,148829.0
138,292040.43
139,155704.66666666666
140,182776.33333333334
141,151483.78
142,112962.82
143,188068.12333333332
144,120059.73
145,163784.33333333334
146,192812.88333333333
147,87650.75079365079
148,298192.32666666666
149,198429.33333333334
150,119575.33333333333
151,129199.75
152,129449.68
153,186594.11
154,252394.25
155,174569.66666666666
156,140207.66666666666
157,304712.2166666667
158,162122.55666666667
159,184906.51666666666
160,184946.68033333335
161,173070.12333333332
162,123359.86190476188
163,242196.15
164,143507.39333333334
165,143935.83333333334
166,188139.25
167,245338.74333333335
168,300943.0133333333
169,130849.36666666667
170,295765.38333333336
171,266595.76
172,267702.8755555555
173,115345.44333333333
174,160140.63
175,135780.5
176,81353.15634920634
