id,Overall Qual,Gr Liv Area,Exter Qual,Garage Cars,Garage Area,Kitchen Qual,Total Bsmt SF,1st Flr SF,Bsmt Qual,Full Bath,Year Built,Year Remod/Add,Garage Yr Blt,target
1,10,2392,Ex,3,968,Ex,2392,2392,Ex,2,2003,2003,2003,386250
2,7,1352,Gd,2,466,Gd,1352,1352,Ex,2,2006,2007,2006,194000
3,5,900,TA,1,288,TA,864,900,TA,1,1967,1967,1967,123000
4,5,1174,TA,2,576,Gd,680,680,TA,1,1900,2006,2000,135000
5,7,1958,Gd,3,936,Gd,1026,1026,Gd,2,2005,2005,2005,250000
6,8,1968,Gd,3,680,Ex,774,774,Ex,2,2009,2010,2009,269500
7,6,1478,TA,2,442,TA,1478,1478,TA,1,1957,1957,1957,156500
8,8,2524,Gd,2,542,Gd,2524,2524,Gd,2,1981,1981,1981,278000
9,8,2649,Gd,3,746,Gd,1479,1515,Ex,2,2001,2002,2001,421250
10,8,1440,Gd,2,467,Gd,1432,1440,Ex,2,2003,2003,2003,232500
11,3,840,TA,1,250,Fa,798,840,TA,1,1920,1950,1938,64000
12,7,1442,Gd,2,719,Gd,910,1442,Gd,2,1990,1991,1990,179900
13,7,1240,TA,2,528,Gd,1265,1240,Gd,2,1985,1985,1985,174000
14,6,1242,TA,1,180,TA,583,647,TA,1,1935,1950,1926,105000
15,8,1989,Gd,2,586,Gd,1065,1091,Gd,2,2002,2002,2002,255000
16,6,1252,TA,2,564,TA,1602,1252,Gd,1,1960,1975,1960,235000
17,7,1541,Gd,2,532,Gd,1541,1541,Gd,2,2005,2005,2005,220000
18,7,1200,Gd,2,480,Gd,600,600,Gd,2,2004,2005,2004,149500
19,8,2799,Gd,3,704,Gd,1286,1565,Gd,2,1993,1993,1993,315000
20,6,1326,Gd,2,427,Gd,1326,1326,Gd,2,2006,2006,2006,174190
21,5,1008,TA,1,275,TA,1008,1008,TA,1,1954,1954,1954,137000
22,5,943,TA,2,600,TA,943,943,Gd,1,1979,1979,1979,135960
23,7,1651,TA,1,276,TA,725,1035,TA,2,1963,1999,1963,172000
24,4,1005,TA,2,672,Fa,1005,1005,TA,1,1955,1955,1977,115000
25,6,1422,Gd,2,440,Gd,704,704,Gd,2,2005,2006,2005,173000
26,5,1344,TA,1,240,TA,896,896,Gd,1,1936,1950,1936,115000
27,4,1430,TA,2,370,Fa,596,834,TA,2,1924,1950,1924,107000
28,5,1038,Gd,1,264,TA,1038,1038,TA,2,1984,1984,1984,130000
29,9,1792,Gd,3,874,Ex,1792,1792,Ex,2,2003,2004,2003,374000
30,5,1416,TA,2,576,Gd,816,1416,TA,2,1918,2007,2007,112000
31,8,2385,Gd,3,818,Gd,1317,1217,Ex,2,2003,2003,2003,350000
32,5,1033,TA,2,504,TA,456,1033,Gd,1,1976,1976,1976,165000
33,6,1080,TA,2,484,TA,1084,1080,TA,1,1983,1983,1983,134000
34,6,1312,TA,2,649,TA,784,900,TA,1,1947,1950,1953,127000
35,8,2202,Gd,2,517,Gd,1105,1105,Ex,2,1992,1993,1992,263000
36,3,1699,TA,2,420,TA,978,1014,Fa,2,1900,1970,1920,95000
37,6,1488,TA,2,430,TA,1008,1488,TA,1,1964,1964,1964,167000
38,6,1456,TA,2,440,TA,855,855,Gd,2,1978,1978,1978,146000
39,5,1558,TA,1,282,TA,910,910,TA,1,1950,1950,1950,152000
40,5,1316,TA,2,576,TA,750,960,Fa,1,1926,1950,1965,90000
41,6,1502,TA,1,180,Gd,602,900,TA,1,1923,1996,1923,165000
42,5,988,TA,2,572,TA,988,988,TA,1,1961,1961,1963,128500
43,9,1800,Ex,3,944,Ex,1800,1800,Ex,2,2007,2008,2008,370967
44,5,860,TA,2,528,TA,840,860,TA,1,1982,1982,1996,137000
45,6,1285,TA,2,473,Gd,1243,1285,TA,2,1977,1977,1977,190000
46,5,1100,TA,2,462,TA,1100,1100,Gd,1,1996,1996,1996,145000
47,6,1072,TA,2,525,TA,547,1072,Gd,1,2005,2006,2005,142500
48,9,1620,Gd,3,912,Ex,1620,1620,Ex,2,2007,2008,2008,315500
49,5,1350,TA,3,627,Gd,576,864,TA,1,1941,1973,1973,152400
50,7,2353,Gd,2,484,Ex,845,1153,Gd,2,1980,1980,1983,260000
51,7,2067,TA,2,784,Gd,752,1285,TA,2,1974,1974,1974,206000
52,5,990,TA,2,528,TA,990,990,Gd,1,1994,1994,1997,155000
53,8,2199,Gd,2,516,Gd,1173,1182,Gd,2,1997,1997,1997,284500
54,6,1453,TA,2,530,TA,1453,1453,TA,2,1961,1961,1961,187500
55,7,2082,TA,2,484,Gd,1362,1362,Gd,2,2003,2003,2003,200000
56,6,1640,Gd,2,520,Gd,798,798,Gd,2,2004,2004,2004,173000
57,6,1521,TA,3,640,Gd,741,780,TA,1,1910,2002,1950,146500
58,6,1991,TA,2,432,TA,854,1096,TA,1,1932,1950,1977,220000
59,5,1210,TA,1,240,Gd,672,832,TA,1,1941,2006,1941,124000
60,6,1094,TA,2,495,TA,1094,1094,TA,1,1953,1953,1953,155000
61,5,1000,TA,2,575,TA,1000,1000,Gd,1,1963,1963,1993,164000
62,7,1646,Gd,2,482,Ex,1594,1646,Ex,2,2004,2005,2004,250000
63,4,894,TA,2,400,TA,894,894,TA,1,1954,1954,1999,110000
64,7,1221,Gd,2,400,Gd,1221,1221,Gd,2,2004,2005,2004,185000
65,5,868,TA,2,576,TA,768,868,Gd,1,1971,1990,1989,119900
66,4,1049,TA,1,195,TA,356,671,Po,1,1910,2000,1910,80900
67,5,882,TA,1,240,Gd,720,882,TA,1,1952,1952,1952,116000
68,8,1460,Gd,2,480,Gd,1460,1460,Ex,2,2006,2007,2006,247000
69,4,1092,TA,1,253,TA,546,546,TA,1,1972,1972,1972,79400
70,7,1232,Gd,2,632,Gd,1232,1232,Gd,2,2007,2007,2007,194500
71,7,1166,Gd,2,400,Gd,856,1166,Gd,2,2005,2005,2005,190000
72,6,1217,TA,1,288,TA,626,626,Gd,1,1980,1980,1980,120000
73,5,980,TA,1,384,TA,980,980,TA,2,1967,1967,1967,135500
74,8,1665,Gd,2,528,Gd,810,810,Gd,2,2001,2001,2001,227000
75,5,1934,TA,2,567,TA,1122,946,Gd,2,1977,1977,1977,185000
76,5,1246,TA,1,305,Gd,1246,1246,TA,1,1959,1994,1959,154000
77,8,1718,Gd,3,826,Gd,1705,1718,Ex,2,2007,2008,2007,297000
78,7,1767,Gd,2,504,Gd,1064,1064,Gd,2,1987,1987,1987,239000
79,5,1112,TA,2,480,TA,631,1112,TA,1,1951,1951,1951,126000
80,4,1337,TA,1,263,TA,832,832,TA,1,1956,1956,1956,108000
81,5,1352,TA,2,720,Gd,676,676,TA,2,1939,2006,1939,149000
82,6,2007,TA,1,357,Ex,917,1090,Fa,2,1900,1950,1930,160000
83,8,2501,Gd,3,751,Gd,1242,1251,Gd,2,1995,1995,1995,290000
84,6,1650,TA,2,518,TA,1632,1650,Gd,1,1958,1958,1958,250764
85,9,2324,Ex,3,736,Ex,1175,1182,Ex,3,2005,2006,2005,345000
86,5,912,TA,1,252,TA,912,912,TA,1,1962,1962,1962,123000
87,5,1440,TA,2,480,TA,720,720,TA,1,1968,1968,1968,163000
